lon,lat
148.947,-18.5663
149.851,-19.6661
149.965,-19.4599
150.225,-19.9231
150.527,-21.1475
150.616,-37.9667
150.619,-19.7266
150.667,-21.0542
150.701,-19.889
150.834,-20.0718
150.897,-37.9627
150.913,-38.1261
150.954,-20.3946
150.97,-37.6819
151.009,-36.6833
151.085,-38.1966
151.105,-20.4494
151.11,-20.4141
151.122,-36.3595
151.136,-20.2079
151.162,-37.6831
151.185,-20.5767
151.188,-38.1804
151.222,-20.411
151.394,-20.4138
151.44,-20.4384
151.505,-20.4162
151.522,-20.3797
151.565,-35.5904
151.65,-20.2038
151.841,-20.7061
151.924,-35.2447
151.998,-33.8835
152.044,-34.795
152.291,-34.6478
152.346,-38.27
152.538,-20.958
152.559,-38.7274
152.574,-38.2337
152.696,-37.7842
152.756,-36.9989
152.778,-38.0644
152.782,-21.1554
152.821,-37.998
152.886,-36.0713
152.897,-36.6056
152.932,-36.3944
152.933,-36.6898
152.936,-21.3202
152.958,-36.13
152.973,-37.7979
153.043,-35.6963
153.062,-21.7945
153.093,-36.8585
153.166,-35.4249
153.224,-21.1428
153.24,-21.645
153.251,-22.2696
153.292,-23.534
153.296,-22.0044
153.297,-23.3871
153.354,-24.0364
153.356,-21.9752
153.375,-22.7171
153.381,-23.2592
153.384,-35.5969
153.386,-21.9119
153.39,-22.9537
153.392,-23.173
153.396,-22.7491
153.406,-22.923
153.406,-22.5385
153.41,-34.7694
153.421,-23.0713
153.427,-22.0308
153.442,-24.2403
153.451,-34.8366
153.454,-35.7188
153.473,-32.025
153.473,-23.9289
153.478,-21.9564
153.486,-21.4146
153.487,-35.3018
153.521,-34.9774
153.558,-34.585
153.558,-22.0035
153.585,-23.4577
153.593,-23.5057
153.605,-23.2864
153.608,-23.7779
153.631,-22.9802
153.646,-23.0691
153.698,-34.6624
153.698,-24.034
153.738,-24.0527
153.745,-23.8636
153.748,-35.4967
153.766,-32.6462
153.768,-33.4967
153.785,-23.5821
153.785,-23.5245
153.79,-34.7911
153.818,-22.7419
153.885,-30.2809
153.909,-32.669
153.918,-23.7146
153.921,-32.9165
153.923,-35.1704
153.937,-32.7544
153.948,-24.1188
153.981,-23.5427
153.991,-34.5277
153.993,-31.3294
153.994,-31.5133
153.995,-23.7466
154.027,-24.35
154.048,-31.9602
154.051,-24.3449
154.062,-23.6994
154.095,-24.5982
154.101,-22.8687
154.106,-23.5876
154.119,-30.6658
154.126,-34.6902
154.138,-24.2345
154.147,-23.1533
154.175,-23.3054
154.188,-24.2461
154.191,-25.3905
154.239,-23.6253
154.29,-34.845
154.297,-31.4746
154.324,-23.5429
154.331,-25.4333
154.367,-34.1279
154.373,-29.995
154.374,-28.6501
154.377,-30.7509
154.379,-34.5866
154.386,-34.4464
154.497,-31.023
154.499,-25.3999
154.568,-34.1918
154.586,-33.7356
154.592,-26.2108
154.599,-28.0018
154.617,-33.7958
154.625,-33.974
154.629,-28.7383
154.651,-25.4678
154.692,-27.7488
154.713,-34.8641
154.768,-32.8812
154.816,-33.1233
154.828,-33.3141
154.868,-33.8763
154.966,-32.9808
155.098,-34.3432
155.123,-33.6833
155.129,-33.7014
155.21,-32.5102
155.223,-33.6984
155.335,-33.7634
155.349,-33.9469
155.513,-30.5131
155.667,-31.2013
155.679,-33.7517
155.691,-33.9665
155.695,-30.8717
155.698,-30.0427
155.738,-31.463
155.744,-33.8138
155.796,-28.7957
155.854,-29.2805
155.872,-31.1155
155.903,-30.8159
155.924,-29.0598
155.934,-33.8052
155.947,-30.874
155.972,-33.9056
156.021,-29.3439
156.032,-28.7633
156.136,-33.9517
156.183,-29.5021
156.221,-29.5066
156.242,-29.5
